"Id","SalePrice"
1461,116985.687754854
1462,161012.081861941
1463,187763.226251797
1464,194367.325910806
1465,207131.206833904
1466,173650.963662761
1467,174160.119224808
1468,164253.750440105
1469,204376.658790146
1470,118604.54500118
1471,164415.770411241
1472,99695.2833289084
1473,96267.9043357011
1474,147279.534474163
1475,98994.0615719914
1476,380591.155848825
1477,260354.539852027
1478,309218.062257049
1479,309269.492072327
1480,480872.229472374
1481,313152.477944455
1482,206840.58559394
1483,175434.755527729
1484,158834.498149072
1485,171667.715635939
1486,191585.203353425
1487,335771.546449866
1488,218890.172081085
1489,203935.177600834
1490,257629.068605886
1491,204251.400214521
1492,93705.750371971
1493,186151.546959675
1494,298894.024847204
1495,289925.100691289
1496,249073.635513796
1497,178204.842667009
1498,159601.148350399
1499,154565.926233526
1500,149110.941264987
1501,194336.572839398
1502,138357.695450509
1503,328084.096996784
1504,235856.019523222
1505,224227.440480065
1506,191457.853199371
1507,250406.929022467
1508,206534.165915616
1509,157261.749260322
1510,146434.695147902
1511,145642.330382704
1512,178382.656624987
1513,148363.089218439
1514,160030.045778653
1515,212735.246614344
1516,156232.26827121
1517,186074.819348557
1518,120197.176306527
1519,216954.497013988
1520,124779.645985964
1521,135306.623825424
1522,184549.602785224
1523,109723.966818177
1524,121602.640687025
1525,118105.186910855
1526,109372.003064057
1527,101758.453321765
1528,130359.539975267
1529,158373.45069681
1530,215618.385855737
1531,125205.352847046
1532,94921.5494301421
1533,162010.989290106
1534,128873.291953972
1535,153087.805228756
1536,96437.8790351129
1537,47139.2470818909
1538,156772.553236636
1539,195501.353496265
1540,124610.662114152
1541,140552.374490657
1542,162768.005236006
1543,194340.043536235
1544,83660.7057628692
1545,127878.12097582
1546,138004.9267762
1547,140839.739243202
1548,150247.193303674
1549,126980.298559034
1550,147445.442169254
1551,108847.488485739
1552,136803.188659292
1553,152074.525476871
1554,114187.050683409
1555,163706.140799589
1556,57011.8143054762
1557,138014.951274898
1558,108613.212972222
1559,75172.4998413043
1560,127706.368667416
1561,150910.573316774
1562,126983.537115071
1563,119190.413207012
1564,164546.523493437
1565,147791.238959906
1566,239279.429009446
1567,71156.3760543926
1568,223606.868075213
1569,138841.739974929
1570,131494.89953716
1571,92490.6717676269
1572,149914.21794879
1573,261882.072901742
1574,130668.576373283
1575,226507.586358084
1576,250724.413359175
1577,181153.412688766
1578,155514.116784399
1579,142047.214865162
1580,197715.468442641
1581,153800.85414244
1582,136788.179104734
1583,281559.041388184
1584,218499.014921216
1585,132552.579653369
1586,59941.2857157076
1587,97938.3861688817
1588,164288.523345863
1589,104028.151334486
1590,131500.409155315
1591,89271.1072121182
1592,123620.144390341
1593,129746.870763488
1594,150452.954162772
1595,114584.334002389
1596,232961.290278838
1597,206330.189613797
1598,205200.473841389
1599,193373.777479081
1600,169258.636947667
1601,54364.6533009073
1602,127887.032385398
1603,35541.4625849542
1604,277162.817990963
1605,221697.924409763
1606,151476.373046654
1607,167371.305464977
1608,195624.362821498
1609,187816.086588969
1610,152525.143168021
1611,129626.650693164
1612,189376.797922399
1613,161483.747783724
1614,126787.322217165
1615,89305.6635211874
1616,71202.4581184314
1617,88766.3650320538
1618,115707.269278533
1619,140327.118424735
1620,168567.39872166
1621,132770.871663223
1622,143692.045521146
1623,253129.642933507
1624,203941.325450113
1625,119683.175929383
1626,175992.263032936
1627,192702.422176933
1628,273820.925976142
1629,166964.007709459
1630,368442.272576234
1631,244441.991557137
1632,248841.918673516
1633,164267.238980235
1634,184038.543153216
1635,172881.967604884
1636,144537.306440954
1637,197776.498810886
1638,182851.060094352
1639,186902.378809461
1640,242070.78252081
1641,182366.024387409
1642,258027.177987184
1643,220185.89783399
1644,228638.934400366
1645,225294.290052709
1646,154998.618913147
1647,152302.642768225
1648,130199.80725685
1649,126364.323279822
1650,106440.669713177
1651,116137.563705189
1652,100205.039474702
1653,103485.346151129
1654,145296.370611746
1655,130254.670332444
1656,141465.382485346
1657,152279.495448517
1658,146262.933754104
1659,123060.812080721
1660,144695.974922081
1661,429489.401262918
1662,382830.357371776
1663,388059.655761225
1664,527029.215870812
1665,336267.714053917
1666,323690.345067959
1667,371019.701465348
1668,359978.085574312
1669,317700.071618358
1670,363636.390410121
1671,272344.208373124
1672,410185.890123802
1673,285843.437523551
1674,251322.446852144
1675,208966.87379946
1676,207092.917278172
1677,215853.164107823
1678,476732.121743654
1679,387714.555713142
1680,344353.042442891
1681,287407.174914963
1682,322314.955897025
1683,192593.702708044
1684,173061.407644907
1685,174485.030933439
1686,160962.214758103
1687,157860.790007125
1688,184916.148560587
1689,189905.277431886
1690,189627.252214894
1691,176864.923701299
1692,255387.805603742
1693,164113.193265497
1694,181165.085434194
1695,160647.835053752
1696,258233.23332438
1697,168058.346368926
1698,337439.358835301
1699,324084.082601153
1700,269726.430088124
1701,283691.593126772
1702,237184.679351524
1703,226596.265701687
1704,267860.433123064
1705,242620.02185949
1706,194728.524806312
1707,235058.225298449
1708,204642.868171829
1709,250503.87503993
1710,220931.27345054
1711,269248.05915014
1712,256692.708281485
1713,281602.81957435
1714,225616.502429187
1715,210473.344397737
1716,182218.997812393
1717,168756.992070657
1718,148980.894952702
1719,230268.536585938
1720,251318.635684878
1721,144704.944464116
1722,118249.302895207
1723,146609.256099043
1724,218674.843058419
1725,239654.387263546
1726,186759.293012013
1727,145018.781755498
1728,158339.948252987
1729,184016.453309104
1730,181809.995156446
1731,120158.362929197
1732,123561.09097094
1733,120903.426756748
1734,118854.884129329
1735,102262.173521481
1736,103620.136081742
1737,288529.06000412
1738,257575.735345793
1739,251329.950890697
1740,218964.045025763
1741,190425.490632144
1742,176580.017706208
1743,168893.013693955
1744,340693.819506524
1745,234165.336465466
1746,185406.522595912
1747,221515.385232829
1748,220301.599439997
1749,141856.152738906
1750,134318.00154028
1751,225814.228968064
1752,105017.670584307
1753,154762.229861681
1754,199076.726021708
1755,167102.347652741
1756,125842.6512342
1757,111105.949510926
1758,151400.110423778
1759,163096.110564066
1760,167351.999286117
1761,156250.089496473
1762,189559.740966528
1763,181032.745371081
1764,111244.35325854
1765,190823.861215476
1766,187259.123149439
1767,233402.597186009
1768,142378.113739741
1769,158805.968863611
